No;NPSN;satuan_pen;Alamat;Kelurahan;Status;Kabupaten;Kecamatan;Bentuk Pendidikan;cek akreditasi;habis masa berlaku;cek sasaran 2025;latitude;longitude;Paket A;Paket B;Paket C
1;20560317;TK AL-HASANAH;Jl. KH. Romli Tambegan;Tambegan;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2023;31 Desember 2028;;-6.97262128301;112.83912685400;-;-;-
2;70036312;RA ANNISAK;KARANG DUWAK AROSBAYA BANGKALAN;Karang Duwak;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
3;69866674;KB AL-ISHAQIYAH DARUSSALAM;Jl. Patemogeno 12 Dusun Kaoman;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;KB;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
4;K9998653;LKP ALFATIH RIDHO COURSE;Dsn. Kaoman;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;Kursus / LKP;;;;-6.97262128301;112.83912685400;-;-;-
5;P9945818;PKBM TUNAS BHAKTI;Jl. Raya Arosbaya;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;PKBM;;;;-6.97262128301;112.83912685400;-;-;-
6;69790739;SDI NURUL HUDA;TLONGSER BATONAONG;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
7;20553267;SMP AL ASIYAH;Jl. Raya Dlemer;Dlemer;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
8;60719250;MIS DARUS SALAFI;DESA BALUNG AROSBAYA;Balung;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MI;;;;-6.97262128301;112.83912685400;-;-;-
9;20583038;MTSS ALI IMRON;BATONAONG AROSBAYA BANGKALAN;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MTs;;;;-6.97262128301;112.83912685400;-;-;-
10;20531147;SMA NEGERI 1 AROSBAYA BANGKALAN;JL. RAYA AROSBAYA NO. 1;Tengket;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SMA;;;;-6.97262128301;112.83912685400;-;-;-
11;20531225;SMK NEGERI 1 AROSBAYA BANGKALAN;JL. RAYA AROSBAYA NO. 1;Tengket;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SMK;;;;-6.97262128301;112.83912685400;-;-;-
12;69881480;MAS ALI IMRON;Gerbug Batonaong Arosbaya;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MA;;;;-6.97262128301;112.83912685400;-;-;-
13;P9945818;PKBM TUNAS BHAKTI;Jl. Raya Arosbaya;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;PKBM;;;;-6.97262128301;112.83912685400;-;ya;ya
14;20560319;TK AL-MUHAJIRIN;PASEREAN BAWAH;Buduran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
15;69993529;RA DARUL MANNAN;MONGMONG GLAGGA AROSBAYA BANGKALAN;Glagga;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
16;69872035;KB ASMAUL HUSNA;Jl. Dusun Moncek;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;KB;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
17;K9990066;LKP MADURA HOTEL SCHOOL;Jl. Raya AL - Bahar;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;Kursus / LKP;;;;-6.97262128301;112.83912685400;-;-;-
18;20531460;UPTD SDN AROSBAYA 1;Jl. Rongkemasan 40;Arosbaya;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
19;20554354;SMP AL MUHAJIRIN;Paserean Bawah Buduran Arosbaya Bangkalan;Buduran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
20;60719249;MIS IANATUL LATIFIYAH;LEKLEKAN BATONAONG AROSBAYA BANGKALAN JAWA TIMUR;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MI;;;;-6.97262128301;112.83912685400;-;-;-
21;20583041;MTSS DARUL HASAN;JL. POCOGAN 1 NO. 102 LAJING;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MTs;;;;-6.97262128301;112.83912685400;-;-;-
22;69753913;SMAS DARUT TAUHID;Dsn. Paserean Desa Buduran;Buduran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMA;;;;-6.97262128301;112.83912685400;-;-;-
23;69977453;SMK PERMAHISA;Dsn. Morsabe;Glagga;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMK;;;;-6.97262128301;112.83912685400;-;-;-
24;20584092;MAS DARUL MANNAN;MONG-MONG GLAGGA AROSBAYA;Glagga;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MA;;;;-6.97262128301;112.83912685400;-;-;-
25;20560320;TK AL-QUR`AN AL - ISHAQIYAH;Kaoman Tengket;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2019;31 Desember 2026;;-6.97262128301;112.83912685400;-;-;-
26;69866672;KB PERMAHISA;Dsn. Morsabe Ds. Glagga;Glagga;SWASTA;Kab. Bangkalan;Kec. Arosbaya;KB;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
27;70037921;RA NURUL ANWAR;Balung Timur;Balung;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
28;20531459;UPTD SDN AROSBAYA 2;Desa Arosbaya;Arosbaya;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
29;70029188;SMP AL-GHOZALI BAQIR;Pasarean Atas No.01 Tambegan Barat;Tambegan;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
30;60719251;MIS TARBIYATUL BANIN;JL. POCOKAN 1/102 LAJING AROSBAYA;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MI;;;;-6.97262128301;112.83912685400;-;-;-
31;20583037;MTSS DARUL MANNAN;MONGMONG GLAGGA;Glagga;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MTs;;;;-6.97262128301;112.83912685400;-;-;-
32;20573098;SMAS DARUZ ZUBAD;Jl. Dsn. Mangkon Utara;Mangkon;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMA;;;;-6.97262128301;112.83912685400;-;-;-
33;20555424;SMKS AL MUHAJIRIN;Dsn. Paserean Bawah Desa Buduran Kec. Arosbaya;Buduran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMK;;;;-6.97262128301;112.83912685400;-;-;-
34;20579381;MAS NURUL ULUM;JL. POCOKAN I NO. 102 LAJING;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MA;;;;-6.97262128301;112.83912685400;-;-;-
35;20560323;TK AL-QUR`AN AL-ISHAQIYAH;Bunalas Arosbaya;Arosbaya;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2023;31 Desember 2023;;-6.97262128301;112.83912685400;-;-;-
36;69969394;KB RADEN PRATANU AROSBAYA;Dsn. Banyu Ayu Ds. Lajing Kec. Arosbaya Kab. Bangkalan;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;KB;2023;31 Desember 2028;;-6.97262128301;112.83912685400;-;-;-
37;69748215;RA/BA/TA AL ASIYAH;DLEMER;Dlemer;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
38;20531458;UPTD SDN AROSBAYA 3;Desa Arosbaya.;Arosbaya;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
39;70003748;SMP AL-MUHTAJIN;Dsn. Janglor 1;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
40;20583043;MTSS DARUSSALAFI;DESA BALUNG TIMUR;Balung;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MTs;;;;-6.97262128301;112.83912685400;-;-;-
41;20551903;SMAS IBNU SHOLEH;JL. DS. TENGGINAH;Ombul;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMA;;;;-6.97262128301;112.83912685400;-;-;-
42;20566281;TK AR - RAHMAH;Dusun Binteng Desa Tengket;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2019;31 Desember 2026;;-6.97262128301;112.83912685400;-;-;-
43;69866677;KB ROBIATUL ADAWIYAH;Jl. Lidah Bumi No. 90 Desa Berbeluk;Berbeluk;SWASTA;Kab. Bangkalan;Kec. Arosbaya;KB;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
44;69748216;RA/BA/TA AL ASROR;BATONAONG;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
45;20531471;UPTD SDN AROSBAYA 5;Jl. Kebun Alas 47;Arosbaya;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
46;20531217;SMP DARUL HIDAYAH;Dusun Mursabe Desa Glagga;Glagga;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
47;20583042;MTSS FATHUL ULUM;OMBUL BARAT;Ombul;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MTs;;;;-6.97262128301;112.83912685400;-;-;-
48;20531150;SMAS SAIDIYAH;JL. AERMATA BUDURAN AROSBAYA;Buduran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMA;;;;-6.97262128301;112.83912685400;-;-;-
49;69866676;KB Siti KhoDijah;Lebak;Arosbaya;SWASTA;Kab. Bangkalan;Kec. Arosbaya;KB;2019;31 Desember 2026;;-6.97262128301;112.83912685400;-;-;-
50;69726990;TK ASMAUL HUSNA;Dusun Moncek Desa Tengket;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2023;31 Desember 2028;;-6.97262128301;112.83912685400;-;-;-
51;69748218;RA/BA/TA AL WAHIDIYAH;PANDIAN;Pandan Lanjang;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
52;20531476;UPTD SDN BALUNG;Desa Balung;Balung;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
53;20558576;SMP DARUT TAUHID;Dusun Paserean Desa Buduran;Buduran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
54;20583039;MTSS IBNU SHOLEH;DESA OMBUL TENGGINAH AROSBAYA;Ombul;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MTs;;;;-6.97262128301;112.83912685400;-;-;-
55;20560321;TK DARUL MAHDI;Ombul Barat;Ombul;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2023;31 Desember 2028;;-6.97262128301;112.83912685400;-;-;-
56;69748219;RA/BA/TA IANATUL LATIFIYAH;LEKLEKAN BATONAONG BANGKALAN;Pandan Lanjang;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
57;69909144;KB TARBIYATUL MUHTAJIN AN-NASHIR;Dsn Janglor 1 Ds. Lajing;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;KB;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
58;20531720;UPTD SDN BATONAONG 1;Desa Batonaong;Batonaong;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
59;20549762;SMP DARUZ ZUBAD;Jl. Dsn. Mangkon Utara;Mangkon;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
60;20583040;MTSS SA`IDIYAH;DESA BUDURAN AROSBAYA;Buduran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MTs;;;;-6.97262128301;112.83912685400;-;-;-
61;20560293;TK DHARMA WANITA;Jl. Raya Arosbaya Desa Tengket;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2023;31 Desember 2028;;-6.97262128301;112.83912685400;-;-;-
62;69748220;RA/BA/TA IBNU HASAN;Jalan Pocokan 1/102 Lajing;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
63;20531719;UPTD SDN BATONAONG 2;Desa Batonaong;Batonaong;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
64;69922896;SMP NAHDLATUL ULAMA;Jl. Raya Pancor Desa Berbeluk;Berbeluk;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
65;69995711;TK MABDAUS SHABAH;Jl. Dsn Lar Lar - Ds Batonaong;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2023;31 Desember 2028;;-6.97262128301;112.83912685400;-;-;-
66;69748221;RA/BA/TA IBNU NASHIR;JANGLOR I LAJING;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
67;20531740;UPTD SDN BERBELUK 1;Jl.Raya No 10;Berbeluk;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
68;70048047;SMP PLUS AL-IMAAD;Dusun Moncek;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
69;20560298;TK MNU SITI KHOTIJAH;Jl. Raya Arosbaya;Arosbaya;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2019;31 Desember 2026;;-6.97262128301;112.83912685400;-;-;-
70;20531739;UPTD SDN BERBELUK 2;Desa Berbeluk;Berbeluk;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
71;20553268;SMP SAIDIYAH;Jl. Aermata Buduran;Buduran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
72;20560322;TK NURUL JAMAL;Jl. Gerbung Batonaong;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
73;20531738;UPTD SDN BERBELUK 3;Jl. Raya Berbeluk;Berbeluk;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
74;20531243;UPTD SMP NEGERI 1 AROSBAYA;Jln. Raya Arosbaya No.1;Tengket;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
75;69894996;TK NURUL MUKMIN;Dsn Pocokan Desa Lajing;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
76;20531829;UPTD SDN BUDURAN;Desa Buduran;Buduran;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
77;20531201;UPTD SMP NEGERI 2 AROSBAYA;Jl. Raya Batonaong No.1 Arosbaya. Bangkalan;Batonaong;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
78;69726988;TK PERMAHISA;Jl. Glagga Arosbaya;Glagga;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2022;31 Desember 2027;;-6.97262128301;112.83912685400;-;-;-
79;20531637;UPTD SDN DLEMER;Desa Dlemer;Dlemer;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
80;20560301;TK PGRI;JL. RONGKEMASAN;Arosbaya;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2019;31 Desember 2024;;-6.97262128301;112.83912685400;-;-;-
81;20531619;UPTD SDN GLAGGA 1;Desa Glagga;Glagga;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
82;20560296;TK PGRI;Desa Berbeluk;Berbeluk;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2019;31 Desember 2026;;-6.97262128301;112.83912685400;-;-;-
83;20531618;UPTD SDN GLAGGA 2;Desa Glagga;Glagga;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
84;69872015;TK PGRI PLAKARAN;Jl. AERMATA NO. 36 PLAKARAN;Plakaran;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2019;31 Desember 2024;;-6.97262128301;112.83912685400;-;-;-
85;20531617;UPTD SDN GLAGGA 3;Desa Glagga;Glagga;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
86;20560295;TK PKK;Desa Tengket;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2023;31 Desember 2028;;-6.97262128301;112.83912685400;-;-;-
87;20531616;UPTD SDN GLAGGA 4;Desa Glagga;Glagga;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
88;69989716;TK RADEN PRATANU AROSBAYA;Dusun Banyu Ayu Desa Lajing;Lajing;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
89;20531680;UPTD SDN KARANG DUWAK 2;Desa Karang Duwak;Karang Duwak;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
90;70046301;TK RAUDLATUL MUTAALLIMIN;Jl. Padengdeng;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
91;20531679;UPTD SDN KARANG DUWAK 3;Desa Karang Duwak;Karang Duwak;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
92;20568027;TK ROBIATUL ADAWIYAH;Jl. Lidah Bumi No. 90 Desa Berbeluk Timur;Berbeluk;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
93;20531120;UPTD SDN LAJING 1;Jl. Raya Lajing;Lajing;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
94;69872013;TK SALSABILA;Kamp. Pettengan Tengket Arosbaya;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2022;31 Desember 2027;;-6.97262128301;112.83912685400;-;-;-
95;20531109;UPTD SDN LAJING 2;Jln. Raya Lajing Desa Lajing Kecamatan Arosbaya;Lajing;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
96;20531108;UPTD SDN LAJING 3;Desa Lajing;Lajing;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
97;20531107;UPTD SDN LAJING 4;Desa Lajing;Lajing;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
98;20531106;UPTD SDN LAJING 5;Desa Lajing;Lajing;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
99;20530907;UPTD SDN OMBUL 1;Desa Ombul;Ombul;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
100;20530905;UPTD SDN OMBUL 3;Desa Ombul;Ombul;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
101;20530975;UPTD SDN PANDAN LANJANG 1;Desa Pandan Lanjang;Pandan Lanjang;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
102;20531299;UPTD SDN PLAKARAN;Jln Aermata No.36;Plakaran;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
103;20531315;UPTD SDN TAMBEGAN;JL. RAYA AIR MATA NOMOR 08;Tambegan;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
104;20531160;UPTD SDN TENGKET 1;Desa Tengket;Tengket;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
105;20531159;UPTD SDN TENGKET 2;Jl. Raya Arosbaya No. 79;Tengket;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
106;20531171;UPTD SDN TENGKET 3;Desa Tengket;Tengket;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
107;20560240;TK ABA 05;JL.RAYA GEBANG;Gebang;SWASTA;Kab. Bangkalan;Kec. Bangkalan;TK;2019;31 Desember 2026;;-7.02925097770;112.73990320500;-;-;-
108;69841544;TPA Aisyiyah;Jl. Trunojoyo 63;Pejagan;SWASTA;Kab. Bangkalan;Kec. Bangkalan;TPA;2024;31 Desember 2029;;-7.02925097770;112.73990320500;-;-;-
109;69872040;TAMAN POSYANDU MELATI;JL. ANGGREK 93 KEMAYORAN;Kemayoran;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SPS;2024;31 Desember 2029;;-7.02925097770;112.73990320500;-;-;-
110;69908203;KB ABDI AKBAR;Jl. Raya Bancaran Rt. 02 Rw. 05;Bancaran;SWASTA;Kab. Bangkalan;Kec. Bangkalan;KB;#N/A;#N/A;Lembaga Aktif;-7.02925097770;112.73990320500;-;-;-
111;69993367;RA AL JAZULIYAH;JESAH BATONAONG AROSBAYA BANGKALAN;Bancaran;SWASTA;Kab. Bangkalan;Kec. Bangkalan;RA;#N/A;#N/A;Lembaga Aktif;-7.02925097770;112.73990320500;-;-;-
112;K9999640;LKP BLUE ENGLISH COURSE;Perum Graha Candra Land Blok Mahakam B.20;Mlajah;SWASTA;Kab. Bangkalan;Kec. Bangkalan;Kursus / LKP;;;;-7.02925097770;112.73990320500;-;-;-
113;P9999962;PKBM AL FALAH ASSALAFI AL KHOLILI;Jl. KH. Moh Yasin 1;Kemayoran;SWASTA;Kab. Bangkalan;Kec. Bangkalan;PKBM;;;;-7.02925097770;112.73990320500;-;-;-
114;69971222;An Nur Fuadi;Jl. Kartini No 24;Kraton;SWASTA;Kab. Bangkalan;Kec. Bangkalan;Pondok Pesantren;;;;-7.02925097770;112.73990320500;-;-;-
115;69967865;SD AS SALAM;Jl. Halim Perdana Kusuma-Perum Bangkalan Indah;Mlajah;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SD;;;;-7.02925097770;112.73990320500;-;-;-
116;69989145;SMP AL HIKAM KEMAYORAN;Jl. Teuku Umar Gg IV / 47 Kemayoran Kecamatan Bangkalan;Kemayoran;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SMP;;;;-7.02925097770;112.73990320500;-;-;-
117;70027504;MI SAFINDA IV BANGKALAN;JL. SIDINGKAP 9A;Mlajah;SWASTA;Kab. Bangkalan;Kec. Bangkalan;MI;;;;-7.02925097770;112.73990320500;-;-;-
118;20583044;MTSN BANGKALAN;JL. SOEKARNO HATTTA 07 BANGKALAN;Mlajah;NEGERI;Kab. Bangkalan;Kec. Bangkalan;MTs;;;;-7.02925097770;112.73990320500;-;-;-
119;69892331;SMA AN-NURONIYAH;JL. KH. MOH. KHOLIL Gg. IV No. 37;Demangan;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SMA;;;;-7.02925097770;112.73990320500;-;-;-
120;69979549;SMK AL - KHOLILIYAH BANGKALAN;Jl. Jokotole II/24. RT.03 - RW.04. Kel.Kraton. Bangkalan;Kraton;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SMK;;;;-7.02925097770;112.73990320500;-;-;-
121;20411916;MAN BANGKALAN;Jl. Soekarno-Hatta no.05;Mlajah;NEGERI;Kab. Bangkalan;Kec. Bangkalan;MA;;;;-7.02925097770;112.73990320500;-;-;-
122;69830686;SLB SAMUDRA LAVENDER;Jl. Halim Perdana Kusuma;Mlajah;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SLB;;;;-7.02925097770;112.73990320500;-;-;-
123;P9999962;PKBM AL FALAH ASSALAFI AL KHOLILI;Jl. KH. Moh Yasin 1;Kemayoran;SWASTA;Kab. Bangkalan;Kec. Bangkalan;PKBM;;;;-7.02925097770;112.73990320500;-;ya;ya
124;20574667;TK ABA 07;JL. TRUNOJOYO NO. 63;Pejagan;SWASTA;Kab. Bangkalan;Kec. Bangkalan;TK;2022;31 Desember 2027;;-7.02925097770;112.73990320500;-;-;-
125;69841502;TPA AISYIYAH BUSTANUL ATHFAL 01;Jl. KH. Moh. Kholil No.31;Demangan;SWASTA;Kab. Bangkalan;Kec. Bangkalan;TPA;2023;31 Desember 2028;;-7.02925097770;112.73990320500;-;-;-
126;69962069;TAMAN POSYANDU PERMATA BUNDA;Desa Ujung Piring;Ujung Piring;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SPS;2024;31 Desember 2029;;-7.02925097770;112.73990320500;-;-;-
127;70043397;RA AL YAMANI;KAMPUNG PENYAGERAN;Bancaran;SWASTA;Kab. Bangkalan;Kec. Bangkalan;RA;2024;31 Desember 2029;;-7.02925097770;112.73990320500;-;-;-
128;69841543;KB Aisyiyah;Jl. Trunojoyo 63;Pejagan;SWASTA;Kab. Bangkalan;Kec. Bangkalan;KB;#N/A;#N/A;Lembaga Aktif;-7.02925097770;112.73990320500;-;-;-
129;K5668335;LKP EXCELLENT COURSE;Perum Graha Mentari Blok B2 No. 3 Mlajah Bangkalan;Mlajah;SWASTA;Kab. Bangkalan;Kec. Bangkalan;Kursus / LKP;;;;-7.02925097770;112.73990320500;-;-;-
130;P2965293;PKBM SERUNI;Jl. Seruni No. 26 Perumda;Mlajah;SWASTA;Kab. Bangkalan;Kec. Bangkalan;PKBM;;;;-7.02925097770;112.73990320500;-;-;-
131;69973200;PDF Ulya Al Ma`arif Bangkalan Jawa Timur;Jl. KHM. Khalil 1/6;Demangan;SWASTA;Kab. Bangkalan;Kec. Bangkalan;Pondok Pesantren;;;;-7.02925097770;112.73990320500;-;-;-
132;70032737;SD KARAKTER ANNA CENDEKIA INSANI;Jl. Brantas No. 1B Perum Graha Candra Land Mlajah;Mlajah;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SD;;;;-7.02925097770;112.73990320500;-;-;-
133;69922901;SMP AL-KHOLILIYAH;Jl. Jokotole II/24 Kraton RT.03 RW.04. Kraton Bangkalan;Kraton;SWASTA;Kab. Bangkalan;Kec. Bangkalan;SMP;;;;-7.02925097770;112.73990320500;-;-;-
